symbol,name,sector,market_cap,change_pct
GPN,Global Payments,Financials,19367325716.20688,-0.16257785756179777
GL,Globe Life,Financials,10687606737.60254,0.8561344247686455
GDDY,GoDaddy,Information Technology,18077289294.290894,0.3766954845222649
GS,Goldman Sachs,Financials,253547077914.01483,0.1183391976412707
HAL,Halliburton,Energy,23638393630.916893,1.1861341878255327
HIG,Hartford (The),Financials,37367711366.264404,-0.10523105585802078
HAS,Hasbro,Consumer Discretionary,11504829616.642067,-0.5941528513601174
HCA,HCA Healthcare,Health Care,114785251495.69702,0.7763215136047011
DOC,Healthpeak Properties,Real Estate,12005257927.222681,-0.08676284674802039
HSIC,Henry Schein,Health Care,8903525632.53093,0.7409453016987023
HSY,Hershey Company (The),Consumer Staples,36689910638.21741,0.10518874841946556
HPE,Hewlett Packard Enterprise,Information Technology,30182420168.25,2.7628021778733682
HLT,Hilton Worldwide,Consumer Discretionary,64416043337.218994,-2.267692224594747
HOLX,Hologic,Health Care,16736838840.304169,0.09998259712882121
HD,Home Depot (The),Consumer Discretionary,352500658077.978,-1.0673094591189713
HON,Honeywell,Industrials,129841885574.37103,-0.47805666738963265
HRL,Hormel Foods,Consumer Staples,13175212420.55345,2.9437019873965813
HST,Host Hotels & Resorts,Real Estate,12026392484.778458,-2.236695703151748
HWM,Howmet Aerospace,Industrials,78795412254.3335,0.7591775976559785
HPQ,HP Inc.,Information Technology,24111134875.590836,1.905516205080483
HUBB,Hubbell Incorporated,Industrials,23294938430.546387,2.017050294865599
HUM,Humana,Health Care,30676848430.44458,-0.7239669048451939
HBAN,Huntington Bancshares,Financials,26976376672.1326,0.557507677525569
HII,Huntington Ingalls Industries,Industrials,12454642913.307129,2.6371951264644324
IBM,IBM,Information Technology,287122625778.39606,1.4638796997091241
IEX,IDEX Corporation,Industrials,13431191447.257233,0.1061633569711412
IDXX,Idexx Laboratories,Health Care,57478572552.68396,-1.0317785888370397
ITW,Illinois Tool Works,Industrials,72771518745.42236,-0.15597480407949876
INCY,Incyte,Health Care,19651902270.73533,-1.3793118481565578
IR,Ingersoll Rand,Industrials,31742544341.289825,0.13166565132739028
PODD,Insulet Corporation,Health Care,22207704093.156586,2.5763420699443524
INTC,Intel,Information Technology,196953304367.06543,-5.6702391098713925
